Epoch 1, train loss 0.1354, test rmse 0.620270
Epoch 2, train loss 0.1124, test rmse 0.573912
Epoch 3, train loss 0.0998, test rmse 0.590762
Epoch 4, train loss 0.0918, test rmse 0.609048
Epoch 5, train loss 0.0953, test rmse 0.573408
Epoch 6, train loss 0.0932, test rmse 0.635077
Epoch 7, train loss 0.0871, test rmse 0.592949
Epoch 8, train loss 0.0911, test rmse 0.597972
Epoch 9, train loss 0.0868, test rmse 0.544055
Epoch 10, train loss 0.0858, test rmse 0.525515
Epoch 11, train loss 0.0816, test rmse 0.559120
Epoch 12, train loss 0.0812, test rmse 0.560764
Epoch 13, train loss 0.0779, test rmse 0.581934
Epoch 14, train loss 0.0773, test rmse 0.555273
Epoch 15, train loss 0.0752, test rmse 0.560117
Epoch 16, train loss 0.0745, test rmse 0.607435
Epoch 17, train loss 0.0798, test rmse 0.549633
Epoch 18, train loss 0.0742, test rmse 0.547389
Epoch 19, train loss 0.0740, test rmse 0.545887
Epoch 20, train loss 0.0770, test rmse 0.556970
Epoch 21, train loss 0.0748, test rmse 0.532297
Epoch 22, train loss 0.0743, test rmse 0.543208
Epoch 23, train loss 0.0728, test rmse 0.552761
Epoch 24, train loss 0.0727, test rmse 0.560939
Epoch 25, train loss 0.0735, test rmse 0.540253
Epoch 26, train loss 0.0727, test rmse 0.549102
Epoch 27, train loss 0.0701, test rmse 0.569580
Epoch 28, train loss 0.0722, test rmse 0.534354
Epoch 29, train loss 0.0724, test rmse 0.524286
Epoch 30, train loss 0.0743, test rmse 0.519078
Epoch 31, train loss 0.0739, test rmse 0.527973
Epoch 32, train loss 0.0716, test rmse 0.535192
Epoch 33, train loss 0.0723, test rmse 0.542466
Epoch 34, train loss 0.0715, test rmse 0.506292
Epoch 35, train loss 0.0742, test rmse 0.553641
Epoch 36, train loss 0.0712, test rmse 0.554886
Epoch 37, train loss 0.0713, test rmse 0.522358
Epoch 38, train loss 0.0696, test rmse 0.522716
Epoch 39, train loss 0.0671, test rmse 0.505856
Epoch 40, train loss 0.0720, test rmse 0.557193
Epoch 41, train loss 0.0732, test rmse 0.579675
Epoch 42, train loss 0.0735, test rmse 0.560458
Epoch 43, train loss 0.0666, test rmse 0.524182
Epoch 44, train loss 0.0707, test rmse 0.528967
Epoch 45, train loss 0.0693, test rmse 0.537314
Epoch 46, train loss 0.0701, test rmse 0.550509
Epoch 47, train loss 0.0704, test rmse 0.539670
Epoch 48, train loss 0.0700, test rmse 0.551523
Epoch 49, train loss 0.0704, test rmse 0.527894
Epoch 50, train loss 0.0708, test rmse 0.550572
Epoch 51, train loss 0.0694, test rmse 0.517271
Epoch 52, train loss 0.0686, test rmse 0.521325
Epoch 53, train loss 0.0684, test rmse 0.520305
Epoch 54, train loss 0.0667, test rmse 0.527168
Epoch 55, train loss 0.0684, test rmse 0.516289
Epoch 56, train loss 0.0684, test rmse 0.540811
Epoch 57, train loss 0.0695, test rmse 0.532822
Epoch 58, train loss 0.0674, test rmse 0.517475
Epoch 59, train loss 0.0677, test rmse 0.526787
Epoch 60, train loss 0.0660, test rmse 0.534829
Epoch 61, train loss 0.0656, test rmse 0.522052
Epoch 62, train loss 0.0669, test rmse 0.523320
Epoch 63, train loss 0.0657, test rmse 0.525883
Epoch 64, train loss 0.0683, test rmse 0.517937
Epoch 65, train loss 0.0671, test rmse 0.524028
Epoch 66, train loss 0.0651, test rmse 0.526033
Epoch 67, train loss 0.0681, test rmse 0.534584
Epoch 68, train loss 0.0674, test rmse 0.525061
Epoch 69, train loss 0.0660, test rmse 0.516613
Epoch 70, train loss 0.0661, test rmse 0.517603
Epoch 71, train loss 0.0672, test rmse 0.523807
Epoch 72, train loss 0.0653, test rmse 0.514641
Epoch 73, train loss 0.0647, test rmse 0.517178
Epoch 74, train loss 0.0675, test rmse 0.514018
Epoch 75, train loss 0.0665, test rmse 0.525936
Epoch 76, train loss 0.0660, test rmse 0.520021
Epoch 77, train loss 0.0639, test rmse 0.531696
Epoch 78, train loss 0.0654, test rmse 0.525680
Epoch 79, train loss 0.0678, test rmse 0.522940
Epoch 80, train loss 0.0643, test rmse 0.519928
Epoch 81, train loss 0.0691, test rmse 0.524345
Epoch 82, train loss 0.0665, test rmse 0.525536
Epoch 83, train loss 0.0695, test rmse 0.541584
Epoch 84, train loss 0.0647, test rmse 0.517977
Epoch 85, train loss 0.0659, test rmse 0.520093
Epoch 86, train loss 0.0649, test rmse 0.524658
Epoch 87, train loss 0.0633, test rmse 0.527942
Epoch 88, train loss 0.0686, test rmse 0.525925
Epoch 89, train loss 0.0650, test rmse 0.522554
Epoch 90, train loss 0.0663, test rmse 0.527240
Epoch 91, train loss 0.0667, test rmse 0.529106
Epoch 92, train loss 0.0667, test rmse 0.528868
Epoch 93, train loss 0.0646, test rmse 0.516116
Epoch 94, train loss 0.0677, test rmse 0.518831
Epoch 95, train loss 0.0671, test rmse 0.539755
Epoch 96, train loss 0.0661, test rmse 0.530329
Epoch 97, train loss 0.0664, test rmse 0.526913
Epoch 98, train loss 0.0638, test rmse 0.534852
Epoch 99, train loss 0.0674, test rmse 0.533607
Epoch 100, train loss 0.0667, test rmse 0.531301
Epoch 101, train loss 0.0670, test rmse 0.533983
Epoch 102, train loss 0.0653, test rmse 0.531100
Epoch 103, train loss 0.0645, test rmse 0.529345
Epoch 104, train loss 0.0685, test rmse 0.529780
Epoch 105, train loss 0.0674, test rmse 0.529249
Epoch 106, train loss 0.0683, test rmse 0.529328
Epoch 107, train loss 0.0676, test rmse 0.529894
Epoch 108, train loss 0.0676, test rmse 0.532167
Epoch 109, train loss 0.0663, test rmse 0.531533
Epoch 110, train loss 0.0655, test rmse 0.529778
Epoch 111, train loss 0.0663, test rmse 0.530636
Epoch 112, train loss 0.0663, test rmse 0.530634
Epoch 113, train loss 0.0642, test rmse 0.528366
Epoch 114, train loss 0.0655, test rmse 0.528956
Epoch 115, train loss 0.0656, test rmse 0.528787
Epoch 116, train loss 0.0641, test rmse 0.526557
Epoch 117, train loss 0.0653, test rmse 0.528509
